x,y,cluster
0.542,0.125,0
0.918,0.528,1
0.29,0.519,2
0.243,0.519,2
0.441,0.773,4
0.503,0.05,0
0.487,0.752,4
0.283,0.509,2
0.376,0.755,4
0.115,0.709,3
0.451,0.729,4
0.279,0.486,2
0.541,0.057,0
0.962,0.516,1
0.423,0.724,4
0.444,0.135,0
0.299,0.483,2
0.265,0.54,2
0.961,0.495,1
0.055,0.756,3
0.539,0.099,0
0.018,0.758,3
1.037,0.491,1
0.97,0.583,1
0.397,0.7,4
0.118,0.798,3
0.987,0.539,1
0.109,0.799,3
0.116,0.756,3
1.02,0.508,1
0.534,0.042,0
0.461,0.126,0
0.432,0.774,4
0.286,0.508,2
0.979,0.56,1
1.039,0.613,1
0.063,0.829,3
1.039,0.553,1
0.094,0.713,3
0.029,0.818,3
0.095,0.799,3
0.422,0.744,4
0.119,0.738,3
0.543,0.096,0
0.121,0.781,3
0.489,0.043,0
0.015,0.762,3
0.061,0.763,3
1.013,0.508,1
0.539,0.063,0
0.979,0.482,1
0.934,0.529,1
0.093,0.82,3
0.936,0.56,1
0.1,0.783,3
0.464,0.049,0
0.081,0.779,3
0.973,0.542,1
0.424,0.77,4
0.992,0.51,1
0.525,0.088,0
0.097,0.702,3
0.107,0.801,3
0.507,0.153,0
0.055,0.753,3
0.436,0.764,4
0.965,0.531,1
0.411,0.803,4
0.144,0.775,3
0.517,0.013,0
0.993,0.545,1
0.101,0.841,3
0.069,0.753,3
0.533,0.753,4
0.482,0.035,0
0.294,0.427,2
0.452,0.103,0
0.137,0.806,3
0.051,0.742,3
0.202,0.559,2
0.375,0.756,4
0.287,0.454,2
0.125,0.878,3
0.458,0.082,0
0.249,0.554,2
0.215,0.52,2
0.303,0.501,2
0.045,0.738,3
0.484,0.064,0
0.083,0.731,3
0.991,0.499,1
0.957,0.544,1
0.518,0.104,0
0.433,0.091,0
0.91,0.544,1
0.529,0.048,0
0.097,0.79,3
0.324,0.468,2
0.374,0.741,4
0.243,0.593,2
0.261,0.545,2
0.959,0.581,1
0.261,0.457,2
0.088,0.67,3
0.474,0.027,0
0.046,0.725,3
0.225,0.526,2
0.27,0.49,2
0.994,0.609,1
0.197,0.562,2
0.041,0.8,3
0.484,0.084,0
0.414,0.779,4
0.482,0.114,0
0.476,0.019,0
0.115,0.753,3
0.179,0.447,2
1.029,0.558,1
