0.542,0.125
0.918,0.528
0.290,0.519
0.243,0.519
0.441,0.773
0.503,0.050
0.487,0.752
0.283,0.509
0.376,0.755
0.115,0.709
0.451,0.729
0.279,0.486
0.541,0.057
0.962,0.516
0.423,0.724
0.444,0.135
0.299,0.483
0.265,0.540
0.961,0.495
0.055,0.756
0.539,0.099
0.018,0.758
1.037,0.491
0.970,0.583
0.397,0.700
0.118,0.798
0.987,0.539
0.109,0.799
0.116,0.756
1.020,0.508
0.534,0.042
0.461,0.126
0.432,0.774
0.286,0.508
0.979,0.560
1.039,0.613
0.063,0.829
1.039,0.553
0.094,0.713
0.029,0.818
0.095,0.799
0.422,0.744
0.119,0.738
0.543,0.096
0.121,0.781
0.489,0.043
0.015,0.762
0.061,0.763
1.013,0.508
0.539,0.063
0.979,0.482
0.934,0.529
0.093,0.820
0.936,0.560
0.100,0.783
0.464,0.049
0.081,0.779
0.973,0.542
0.424,0.770
0.992,0.510
0.525,0.088
0.097,0.702
0.107,0.801
0.507,0.153
0.055,0.753
0.436,0.764
0.965,0.531
0.411,0.803
0.144,0.775
0.517,0.013
0.993,0.545
0.101,0.841
0.069,0.753
0.533,0.753
0.482,0.035
0.294,0.427
0.452,0.103
0.137,0.806
0.051,0.742
0.202,0.559
0.375,0.756
0.287,0.454
0.125,0.878
0.458,0.082
0.249,0.554
0.215,0.520
0.303,0.501
0.045,0.738
0.484,0.064
0.083,0.731
0.991,0.499
0.957,0.544
0.518,0.104
0.433,0.091
0.910,0.544
0.529,0.048
0.097,0.790
0.324,0.468
0.374,0.741
0.243,0.593
0.261,0.545
0.959,0.581
0.261,0.457
0.088,0.670
0.474,0.027
0.046,0.725
0.225,0.526
0.270,0.490
0.994,0.609
0.197,0.562
0.041,0.800
0.484,0.084
0.414,0.779
0.482,0.114
0.476,0.019
0.115,0.753
0.179,0.447
1.029,0.558
0.341,0.447
0.048,0.865
0.412,0.696
0.061,0.811
0.441,0.696
0.498,0.108
0.451,0.161
0.479,0.074
0.447,0.725
0.510,0.756
0.460,0.754
0.293,0.493
0.120,0.813
0.323,0.546
0.528,0.718
0.422,0.777
0.348,0.558
0.063,0.869
0.414,0.688
0.254,0.494
0.258,0.476
0.309,0.517
0.278,0.576
0.991,0.525
0.282,0.451
0.288,0.593
0.428,0.711
0.513,0.012
0.976,0.589
0.037,0.801
0.299,0.529
0.265,0.478
1.020,0.586
1.002,0.540
0.445,0.778
0.464,0.097
0.436,0.745
0.473,0.742
0.406,0.690
0.480,0.736
0.250,0.500
0.208,0.530
0.497,0.744
0.062,0.893
0.083,0.777
0.261,0.491
0.450,0.020
0.057,0.732
0.321,0.517
0.099,0.795
0.264,0.456
0.072,0.744
0.291,0.405
0.515,0.076
0.502,0.094
0.034,0.829
0.215,0.430
0.089,0.801
0.161,0.805
0.102,0.709
0.453,0.739
0.309,0.434
0.096,0.728
0.398,0.769
1.006,0.510
0.429,0.744
0.271,0.413
0.457,0.058
0.983,0.577
0.448,0.672
0.972,0.536
0.390,0.763
0.977,0.519
0.950,0.526
0.460,0.086
1.040,0.519
0.325,0.475
0.069,0.773
0.439,0.041
0.345,0.751
1.072,0.513
0.957,0.524
1.023,0.566
0.426,0.053
0.933,0.482
1.013,0.541
0.442,0.738
0.480,0.666
0.244,0.560
0.291,0.451
0.142,0.752
0.922,0.454
0.469,0.135
0.268,0.433
1.047,0.540
0.311,0.550
0.370,0.735
0.072,0.799
0.420,0.773
0.317,0.503
0.968,0.520
0.095,0.760
0.176,0.864
1.004,0.553
0.068,0.760
0.989,0.524
0.263,0.539
0.061,0.834
0.282,0.495
0.438,0.065
0.445,0.690
0.512,0.640
0.099,0.776
1.027,0.585
0.510,0.133
0.493,0.079
0.486,0.682
0.471,0.071
0.445,0.726
0.958,0.547
0.277,0.462
0.468,0.064
0.122,0.778
0.084,0.837
0.457,0.105
0.940,0.535
0.407,0.661
0.504,0.765
0.993,0.556
0.290,0.515
0.079,0.736
0.468,0.797
0.410,0.774
0.278,0.568
0.266,0.540
0.543,0.104
0.458,0.056
0.313,0.478
0.460,0.055
0.519,0.018
0.394,0.713
0.402,0.723
0.446,0.800
0.964,0.559
0.041,0.766
0.975,0.537
0.325,0.432
0.314,0.506
0.509,0.060
0.929,0.468
0.474,0.702
0.395,0.720
0.460,0.726
0.237,0.506
0.449,0.075
0.478,0.719
0.128,0.723
0.493,0.077
0.546,0.084
0.436,0.745
0.466,0.065
0.917,0.550
0.159,0.694
0.275,0.466
0.440,0.735
0.324,0.504
0.071,0.842
0.297,0.503
0.475,0.104
0.425,0.741
0.428,0.796
0.137,0.812
0.237,0.478
0.301,0.557
0.019,0.734
0.255,0.486
0.492,0.623
0.520,0.121
0.487,0.751
0.241,0.566
0.965,0.552
0.449,0.044
0.022,0.789
0.470,0.669
0.954,0.513
0.470,0.792
0.002,0.793
0.442,0.719
0.546,0.058
0.289,0.540
0.413,0.687
0.040,0.759
0.981,0.568
0.092,0.826
0.550,0.056
0.862,0.569
0.035,0.789
0.996,0.525
0.238,0.496
0.483,0.159
0.535,0.729
0.457,0.774
0.437,0.721
0.166,0.503
0.431,0.770
0.384,0.744
0.403,0.722
0.917,0.509
0.390,0.527
0.379,0.646
0.982,0.531
0.127,0.801
0.431,0.663
0.963,0.527
0.948,0.548
0.586,0.058
0.103,0.796
0.333,0.463
0.465,0.707
0.041,0.738
0.445,0.684
1.030,0.484
0.939,0.471
0.591,0.063
0.527,0.010
1.018,0.498
0.972,0.509
0.089,0.756
0.250,0.470
0.405,0.653
1.022,0.486
0.454,0.096
0.416,0.642
0.959,0.589
1.010,0.505
0.101,0.796
1.030,0.626
0.462,0.742
0.278,0.501
0.109,0.707
0.961,0.495
0.251,0.523
0.084,0.793
0.330,0.514
0.448,0.695
0.329,0.406
0.122,0.816
0.074,0.773
0.982,0.545
0.281,0.541
0.988,0.618
0.107,0.736
0.945,0.562
0.031,0.776
0.066,0.797
0.260,0.473
0.019,0.757
0.976,0.575
0.255,0.513
0.502,0.693
0.491,0.108
0.058,0.801
1.002,0.536
0.496,0.117
0.525,0.061
0.079,0.750
0.508,0.023
0.956,0.547
0.440,0.701
0.017,0.813
0.476,0.682
0.451,0.686
0.335,0.536
0.096,0.773
0.453,0.736
0.259,0.510
0.551,0.134
0.326,0.490
0.036,0.809
0.412,0.092
0.489,0.104
0.418,0.752
0.321,0.500
0.974,0.577
0.245,0.486
0.491,0.060
0.121,0.770
0.335,0.717
0.260,0.471
0.941,0.530
0.963,0.538
0.511,0.788
0.927,0.596
0.453,0.071
0.537,0.696
0.957,0.556
1.012,0.542
1.073,0.597
0.230,0.464
0.067,0.809
0.002,0.837
0.420,0.723
0.492,0.729
0.436,0.726
0.171,0.837
0.940,0.506
0.523,0.104
0.451,0.636
0.246,0.542
0.519,0.006
0.296,0.497
0.965,0.556
0.300,0.490
0.033,0.741
0.073,0.832
0.358,0.776
0.335,0.526
0.043,0.798
0.448,0.684
0.946,0.499
0.201,0.513
0.439,0.658
0.947,0.521
0.066,0.832
0.444,0.129
0.116,0.799
0.057,0.757
0.074,0.730
0.962,0.496
0.447,0.722
0.962,0.590
0.116,0.819
0.973,0.523
0.911,0.544
0.411,0.653
0.005,0.777
0.071,0.777
0.255,0.439
0.950,0.586
0.482,0.737
0.087,0.748
0.094,0.796
0.954,0.484
0.316,0.510
0.426,0.736
0.401,0.732
0.038,0.811
0.122,0.747
0.431,0.732
0.264,0.489
0.250,0.485
0.499,0.698
0.414,0.745
0.325,0.463
0.113,0.767
0.138,0.766
0.227,0.436
0.450,0.705
0.464,0.793
0.960,0.583
0.520,0.105
0.295,0.474
0.090,0.779
0.275,0.463
0.302,0.528
0.959,0.534
1.001,0.544
0.976,0.523
0.056,0.767
0.942,0.503
0.481,0.752
0.545,0.157
0.975,0.529
1.010,0.518
0.515,0.033
0.957,0.600
0.454,0.684
0.329,0.437
0.999,0.517
0.440,0.694
0.477,0.711
0.062,0.762
0.240,0.487
0.390,0.684
0.474,0.700
0.086,0.813
0.431,0.689
0.990,0.497
0.289,0.515
0.420,0.773
0.443,0.069
0.252,0.440
0.399,0.725
0.462,0.675
0.180,0.458
0.965,0.538
0.199,0.481
0.077,0.704
0.058,0.800
0.376,0.753
0.261,0.546
0.500,0.715
0.055,0.777
0.248,0.462
1.024,0.547
0.986,0.469
0.067,0.811
0.494,0.089
0.458,0.722
0.123,0.753
0.473,0.698
0.458,0.758
0.430,0.747
0.051,0.860
0.054,0.806
1.023,0.506
0.920,0.517
0.068,0.717
0.488,0.746
0.517,0.017
0.237,0.469
1.053,0.484
0.980,0.487
0.520,0.113
0.129,0.787
0.047,0.797
0.171,0.871
0.418,0.761
0.945,0.572
0.004,0.843
0.257,0.548
0.290,0.515
0.351,0.755
0.999,0.529
0.241,0.439
0.943,0.539
0.260,0.458
0.220,0.523
0.404,0.738
0.444,0.667
0.462,0.045
0.547,0.742
0.420,0.744
0.389,0.683
0.282,0.479
0.502,0.100
0.469,0.112
0.042,0.733
1.007,0.622
0.461,0.070
0.025,0.813
1.016,0.507
0.096,0.757
0.959,0.575
0.061,0.762
0.104,0.829
0.261,0.514
0.279,0.509
0.996,0.535
0.068,0.756
0.209,0.523
0.426,0.681
0.421,0.798
0.045,0.774
0.964,0.628
0.008,0.733
0.479,0.095
0.462,0.692
0.473,0.698
0.499,0.028
0.494,0.774
0.101,0.742
0.053,0.742
0.995,0.543
0.060,0.787
0.463,0.707
0.425,0.665
0.958,0.488
0.231,0.554
0.233,0.480
0.463,0.710
0.221,0.538
0.559,0.106
0.183,0.516
0.488,0.049
0.116,0.810
0.964,0.549
0.492,0.745
0.419,0.704
0.991,0.578
0.147,0.752
0.458,0.715
0.255,0.515
0.074,0.728
0.147,0.821
0.995,0.525
0.256,0.497
0.532,0.111
0.275,0.499
0.524,0.687
0.081,0.744
0.271,0.471
0.463,0.753
0.449,0.763
0.112,0.721
