0.754,0.941,0.486
0.741,0.956,0.469
0.476,0.034,0.237
0.118,0.796,0.435
0.467,0.671,0.798
0.126,0.732,0.468
0.552,0.002,0.240
0.070,0.753,0.494
0.744,0.901,0.580
0.550,0.644,0.778
0.493,0.684,0.777
0.688,1.005,0.530
0.555,0.730,0.781
0.124,0.851,0.358
0.458,0.066,0.231
0.525,0.126,0.287
0.417,0.064,0.274
0.690,0.902,0.470
0.574,0.061,0.368
0.130,0.718,0.436
0.055,0.803,0.413
0.075,0.786,0.448
0.433,0.060,0.251
0.119,0.817,0.466
0.517,0.733,0.741
0.374,0.035,0.322
0.411,0.076,0.319
0.392,0.060,0.242
0.502,0.087,0.270
0.084,0.796,0.478
0.552,0.696,0.818
0.366,0.165,0.223
0.743,0.990,0.541
0.514,0.052,0.196
0.588,0.045,0.261
0.693,0.958,0.539
0.483,0.733,0.823
0.414,0.067,0.276
0.106,0.839,0.464
0.498,0.096,0.313
0.492,0.635,0.816
0.348,0.057,0.332
0.648,0.923,0.505
0.433,0.039,0.202
0.735,1.054,0.493
0.745,0.994,0.510
0.735,1.042,0.550
0.554,0.612,0.821
0.701,0.957,0.476
0.412,0.139,0.261
0.695,0.917,0.558
0.723,1.085,0.543
0.507,0.120,0.249
0.127,0.724,0.467
0.067,0.824,0.516
0.532,0.694,0.835
0.558,0.098,0.319
0.058,0.754,0.458
0.114,0.728,0.459
0.311,0.051,0.335
0.735,0.923,0.511
0.127,0.748,0.371
0.016,0.727,0.447
0.072,0.801,0.399
0.777,0.941,0.533
0.407,0.038,0.287
0.364,0.090,0.273
0.105,0.833,0.428
0.561,0.080,0.283
0.376,0.085,0.270
0.372,0.100,0.288
0.037,0.816,0.490
0.761,0.998,0.550
0.517,0.704,0.814
0.518,0.673,0.743
0.094,0.753,0.493
0.507,0.732,0.873
0.366,0.103,0.339
0.380,0.035,0.237
0.336,0.087,0.279
0.106,0.785,0.433
0.559,0.141,0.347
0.142,0.796,0.439
0.467,0.103,0.229
0.309,0.034,0.314
0.704,0.977,0.509
0.436,0.119,0.255
0.525,0.083,0.269
0.535,0.041,0.237
0.084,0.790,0.411
0.653,0.917,0.543
0.401,0.048,0.294
0.330,0.097,0.308
0.698,0.944,0.552
0.466,0.622,0.725
0.513,0.073,0.298
0.501,0.131,0.219
0.388,0.026,0.212
0.598,0.735,0.848
0.390,0.062,0.254
0.716,0.953,0.555
0.498,0.117,0.293
0.438,0.068,0.333
0.546,0.778,0.865
0.739,1.000,0.471
0.139,0.793,0.455
0.746,0.943,0.513
0.476,0.626,0.790
0.040,0.838,0.444
0.484,0.664,0.790
0.735,0.939,0.463
0.429,0.070,0.230
0.343,0.115,0.302
0.769,0.968,0.520
0.660,0.634,0.806
0.012,0.750,0.383
0.051,0.717,0.433
0.528,0.670,0.761
0.491,0.031,0.231
0.462,0.643,0.834
0.390,0.144,0.295
0.748,0.988,0.542
0.491,0.670,0.735
0.527,0.022,0.259
0.370,0.052,0.310
0.056,0.792,0.483
0.314,0.061,0.320
0.386,0.036,0.329
0.490,0.710,0.812
0.347,0.002,0.202
0.091,0.794,0.456
0.662,0.976,0.476
0.313,0.116,0.272
0.422,0.123,0.330
0.403,0.015,0.305
0.104,0.786,0.544
0.520,0.663,0.765
0.520,0.078,0.318
0.414,0.100,0.361
0.092,0.707,0.416
0.414,0.104,0.237
0.506,0.109,0.259
0.795,1.010,0.619
0.505,0.641,0.830
0.438,0.690,0.846
0.539,0.654,0.855
0.444,0.068,0.344
0.482,0.008,0.198
0.474,0.110,0.282
0.529,0.656,0.796
0.576,0.705,0.831
0.758,0.995,0.539
0.728,1.051,0.469
0.514,0.009,0.181
0.052,0.815,0.453
0.126,0.833,0.448
0.534,0.619,0.839
0.677,1.017,0.584
0.403,0.096,0.327
0.340,0.154,0.199
0.767,0.970,0.537
0.662,0.975,0.556
0.451,0.653,0.800
0.726,0.946,0.530
0.666,1.032,0.531
0.492,0.749,0.782
0.088,0.806,0.420
0.702,0.945,0.557
0.466,0.706,0.855
0.417,0.073,0.289
0.732,0.957,0.464
0.532,0.709,0.848
0.671,0.871,0.525
0.721,0.962,0.561
0.525,0.728,0.840
0.380,0.082,0.254
0.733,0.970,0.528
0.113,0.795,0.380
0.392,0.035,0.287
0.423,0.066,0.275
0.025,0.817,0.453
0.755,0.952,0.479
0.089,0.773,0.495
0.428,0.049,0.274
0.367,0.037,0.234
0.506,0.798,0.798
0.457,0.019,0.298
0.040,0.770,0.369
0.531,0.671,0.815
0.505,0.710,0.794
0.091,0.805,0.409
0.760,1.055,0.598
0.424,0.064,0.388
0.552,0.017,0.295
0.107,0.813,0.464
0.661,0.959,0.486
0.543,0.641,0.761
0.335,0.041,0.281
0.525,0.057,0.223
0.443,0.098,0.252
0.128,0.832,0.413
0.472,0.030,0.308
0.466,0.623,0.804
0.492,0.097,0.286
0.511,0.648,0.788
0.544,0.658,0.811
0.443,0.012,0.253
0.492,0.017,0.321
0.744,0.984,0.468
0.471,0.690,0.838
0.070,0.753,0.510
0.489,0.009,0.296
0.489,0.624,0.800
0.512,0.094,0.285
0.069,0.760,0.385
0.517,0.644,0.803
0.508,0.696,0.829
0.084,0.797,0.458
0.341,0.057,0.295
0.137,0.699,0.461
0.716,0.954,0.567
0.052,0.753,0.476
0.445,0.057,0.272
0.451,0.746,0.789
0.438,0.688,0.826
0.483,0.669,0.761
0.363,0.149,0.247
0.055,0.857,0.317
0.460,0.702,0.749
0.507,0.673,0.846
0.661,1.035,0.470
0.450,0.098,0.266
0.481,0.093,0.235
0.345,0.038,0.252
0.489,0.096,0.331
0.696,0.945,0.537
0.056,0.861,0.464
0.496,0.691,0.877
0.726,1.012,0.526
0.790,1.039,0.610
0.441,0.069,0.277
0.123,0.795,0.453
0.524,0.648,0.872
0.374,0.064,0.299
0.539,0.095,0.274
0.373,0.068,0.297
0.046,0.789,0.441
0.394,0.093,0.304
0.549,0.078,0.271
0.347,0.051,0.239
0.023,0.729,0.460
0.457,0.082,0.241
0.380,0.013,0.262
0.552,0.712,0.794
0.695,0.985,0.555
0.670,1.021,0.544
0.478,0.078,0.254
0.500,0.057,0.235
0.046,0.755,0.506
0.483,0.095,0.301
0.520,0.044,0.300
0.059,0.745,0.383
0.485,0.052,0.232
0.527,0.043,0.275
0.518,0.735,0.812
0.130,0.823,0.428
0.507,0.660,0.845
0.360,0.071,0.281
0.468,0.082,0.304
0.657,1.001,0.484
0.484,0.665,0.783
0.741,1.036,0.474
0.086,0.812,0.449
0.720,1.051,0.497
0.467,0.143,0.239
0.489,0.073,0.230
0.074,0.797,0.450
0.433,0.609,0.833
0.365,0.031,0.290
0.491,0.681,0.802
0.655,0.991,0.502
0.099,0.714,0.472
0.531,0.631,0.813
0.434,0.647,0.776
0.489,0.717,0.858
0.461,0.666,0.864
0.539,0.707,0.791
0.102,0.749,0.537
0.455,0.178,0.283
0.526,0.070,0.310
0.513,0.783,0.765
0.728,1.033,0.562
0.479,0.701,0.802
0.418,0.108,0.313
0.724,0.990,0.476
0.465,0.658,0.800
0.536,0.686,0.807
0.445,0.702,0.799
0.482,0.650,0.741
0.684,1.012,0.512
0.551,0.092,0.302
0.379,0.125,0.265
0.748,0.926,0.523
0.037,0.748,0.435
0.707,1.018,0.542
0.770,0.984,0.520
0.486,0.730,0.852
0.513,0.129,0.339
0.719,0.994,0.544
0.408,0.077,0.313
0.105,0.807,0.386
0.367,0.025,0.248
0.765,0.965,0.550
0.702,0.988,0.493
0.483,0.635,0.850
0.533,0.698,0.871
0.460,0.774,0.767
0.425,0.105,0.339
0.457,0.167,0.304
0.405,0.105,0.309
0.698,0.958,0.576
0.724,0.913,0.487
0.527,0.037,0.270
0.086,0.754,0.379
0.078,0.754,0.381
0.390,0.088,0.313
0.495,0.065,0.240
0.533,0.643,0.765
0.374,0.136,0.264
0.530,0.042,0.270
0.520,0.041,0.170
0.420,0.061,0.260
0.480,0.045,0.317
0.341,0.018,0.336
0.363,0.158,0.335
0.378,0.000,0.287
0.761,0.989,0.557
0.480,0.660,0.783
0.468,0.690,0.888
0.492,0.650,0.811
0.410,0.036,0.292
0.737,1.019,0.511
0.345,0.066,0.219
0.348,0.093,0.362
0.139,0.789,0.462
0.720,0.968,0.525
0.521,0.739,0.736
0.355,0.009,0.296
0.058,0.787,0.420
0.127,0.839,0.403
0.403,0.049,0.244
0.347,0.079,0.216
0.701,0.993,0.434
0.468,0.007,0.210
0.453,0.690,0.900
0.471,0.731,0.794
0.033,0.863,0.468
0.769,1.071,0.550
0.763,0.937,0.577
0.101,0.767,0.450
0.559,0.111,0.200
0.453,0.156,0.277
0.472,0.068,0.325
0.029,0.720,0.398
0.525,0.036,0.232
0.602,0.661,0.747
0.537,0.055,0.257
0.751,0.999,0.513
0.480,0.110,0.262
0.381,0.107,0.261
0.324,0.133,0.228
0.067,0.767,0.447
0.680,0.986,0.626
0.731,0.969,0.502
0.520,0.718,0.751
0.730,1.032,0.443
0.491,0.032,0.343
0.103,0.890,0.464
0.113,0.852,0.460
0.171,0.826,0.413
0.375,0.060,0.209
0.467,0.125,0.220
0.149,0.729,0.471
0.461,0.080,0.274
0.705,0.957,0.477
0.561,0.746,0.822
0.071,0.834,0.559
0.430,0.078,0.342
0.560,0.090,0.236
0.567,0.102,0.256
0.746,0.939,0.602
0.343,0.067,0.265
0.769,1.011,0.524
0.055,0.775,0.435
0.071,0.824,0.425
0.737,1.008,0.558
0.368,0.124,0.284
0.761,0.962,0.462
0.537,0.019,0.269
0.367,0.040,0.294
0.677,0.943,0.542
0.417,0.071,0.222
0.363,0.127,0.314
0.513,0.046,0.373
0.510,0.011,0.270
0.493,0.041,0.218
0.089,0.715,0.427
0.087,0.810,0.404
0.679,1.006,0.492
0.032,0.778,0.479
0.076,0.782,0.358
0.571,0.761,0.805
0.330,0.114,0.266
0.486,0.664,0.719
0.660,0.983,0.582
0.366,0.094,0.293
0.139,0.754,0.452
0.541,0.084,0.247
0.414,0.100,0.303
0.769,1.034,0.546
0.377,0.039,0.287
0.317,0.012,0.266
0.505,0.028,0.189
0.799,1.021,0.629
0.049,0.763,0.420
0.479,0.051,0.261
0.713,1.084,0.481
0.719,0.991,0.604
0.698,0.991,0.463
0.455,0.051,0.291
0.397,0.128,0.259
0.405,0.090,0.300
0.491,0.070,0.170
0.676,0.933,0.562
0.075,0.800,0.442
0.692,1.003,0.492
0.532,0.037,0.259
0.537,0.650,0.787
0.491,0.037,0.275
0.469,0.007,0.219
0.380,0.025,0.306
0.476,0.115,0.263
0.061,0.809,0.469
0.507,0.062,0.236
0.488,0.065,0.312
0.430,0.049,0.262
0.003,0.815,0.428
0.647,0.999,0.577
0.152,0.686,0.492
0.515,0.672,0.741
0.542,0.706,0.825
0.316,0.060,0.191
0.090,0.803,0.421
0.748,0.974,0.492
0.114,0.811,0.426
0.110,0.709,0.489
0.373,0.106,0.327
0.312,0.158,0.297
0.466,0.649,0.806
0.739,0.946,0.520
0.515,0.635,0.786
0.475,0.037,0.234
0.006,0.793,0.417
0.395,0.060,0.221
0.720,0.976,0.528
0.458,0.052,0.301
0.502,0.641,0.744
0.698,0.951,0.587
0.165,0.819,0.505
0.350,0.090,0.320
0.052,0.754,0.441
0.112,0.763,0.414
0.083,0.839,0.387
0.414,0.001,0.271
0.497,0.114,0.263
0.555,0.115,0.283
0.394,0.674,0.770
0.402,0.115,0.254
0.092,0.743,0.416
0.521,0.087,0.260
0.301,0.020,0.226
0.731,1.049,0.554
0.465,0.119,0.163
0.550,0.794,0.769
0.477,0.715,0.843
0.030,0.781,0.432
0.461,0.672,0.768
0.384,0.016,0.277
0.021,0.836,0.466
0.449,0.033,0.310
0.693,0.927,0.508
0.391,0.088,0.266
0.791,0.958,0.541
0.453,0.082,0.286
0.433,0.030,0.319
0.546,0.699,0.776
0.533,0.667,0.777
0.785,0.998,0.581
