x,y,cluster
0.28,0.546,1
0.034,0.777,4
0.956,0.504,2
0.436,0.694,3
0.059,0.838,4
0.505,0.784,3
0.988,0.515,2
0.951,0.469,2
1.039,0.604,2
0.397,0.744,3
0.421,0.072,0
0.346,0.519,1
0.498,0.045,0
0.391,0.73,3
0.342,0.499,1
0.069,0.8,4
0.444,0.668,3
0.349,0.533,1
0.308,0.577,1
0.275,0.478,1
0.458,0.103,0
0.295,0.53,1
0.537,0,0
0.439,0.73,3
0.088,0.742,4
0.223,0.489,1
0.233,0.428,1
0.217,0.479,1
0.061,0.742,4
0.426,0.709,3
0.584,0.087,0
0.076,0.778,4
0.073,0.769,4
0.47,0.756,3
0.324,0.459,1
0.08,0.757,4
0.537,0.135,0
1.005,0.611,2
0.415,0.68,3
0.352,0.726,3
0.929,0.54,2
0.292,0.4,1
0.264,0.501,1
1.023,0.576,2
0.445,0.633,3
0.072,0.812,4
0.403,0.73,3
0.418,0.771,3
0.48,0.687,3
0.052,0.783,4
1.007,0.529,2
1.068,0.547,2
0.113,0.823,4
0.498,0.073,0
0.941,0.531,2
0.124,0.779,4
0.121,0.786,4
0.424,0.705,3
1.06,0.564,2
0.969,0.475,2
0.481,0.786,3
0.02,0.776,4
0.061,0.811,4
0.544,0.14,0
0.442,0.664,3
0.519,0.176,0
0.05,0.852,4
0.086,0.766,4
0.269,0.535,1
0.271,0.563,1
0.963,0.483,2
0.131,0.808,4
0.275,0.501,1
0.41,0.771,3
0.508,0.06,0
0.432,0.115,0
0.072,0.761,4
0.922,0.526,2
0.491,0.747,3
0.445,0.699,3
0.529,0.069,0
0.993,0.49,2
0.989,0.632,2
0.468,0.018,0
0.519,0.031,0
0.086,0.778,4
0.969,0.474,2
0.287,0.575,1
0.101,0.749,4
0.985,0.551,2
0.459,0.03,0
0.262,0.418,1
0.518,0.042,0
1.041,0.463,2
0.161,0.757,4
0.066,0.753,4
0.319,0.484,1
0.248,0.486,1
0.132,0.742,4
0.973,0.491,2
0.432,0.693,3
0.335,0.528,1
0.46,0.762,3
0.469,0.74,3
0.525,0.135,0
0.531,0.089,0
0.522,0.028,0
0.205,0.588,1
0.473,0.73,3
0.46,0.039,0
0.456,0.667,3
0.425,0.673,3
0.063,0.9,4
0.098,0.695,4
0.07,0.724,4
0.03,0.845,4
0.231,0.463,1
0.258,0.53,1
0.984,0.549,2
0.266,0.505,1
0.038,0.726,4
0.499,0,0
0.281,0.476,1
0.462,0.115,0
0.518,0.747,3
0.26,0.527,1
0.126,0.783,4
0.247,0.575,1
0.95,0.507,2
0.504,0.075,0
0.384,0.773,3
1,0.55,2
0.408,0.765,3
0.282,0.505,1
0.207,0.512,1
0.497,0.077,0
0.488,0.016,0
0.498,0.086,0
0.985,0.541,2
0.449,0.699,3
0.427,0.058,0
0.978,0.512,2
0.53,0.049,0
0.034,0.732,4
0.982,0.612,2
0.518,0.046,0
0.917,0.594,2
0.932,0.601,2
0.487,0.756,3
0.312,0.524,1
0.274,0.515,1
0.068,0.795,4
0.5,0.08,0
0.025,0.808,4
1.022,0.507,2
0.337,0.467,1
0.46,0.768,3
0.955,0.554,2
0.4,0.071,0
0.251,0.499,1
0.533,0.067,0
0.123,0.744,4
0.981,0.538,2
0.477,0.103,0
0.575,0.053,0
1.015,0.513,2
0.047,0.775,4
1,0.538,2
0.422,0.092,0
0.207,0.523,1
0.469,0.742,3
0.196,0.76,4
0.101,0.796,4
0.51,0.041,0
0.304,0.509,1
0.054,0.818,4
0.501,0.724,3
0.22,0.523,1
0.446,0.11,0
0.288,0.554,1
0.272,0.438,1
0.119,0.819,4
0.273,0.446,1
0.069,0.827,4
0.459,0.1,0
0.056,0.791,4
1.008,0.448,2
0.047,0.77,4
0.419,0.077,0
0.264,0.5,1
0.122,0.751,4
1.036,0.516,2
0.231,0.576,1
0.5,0.135,0
0.486,0.702,3
0.017,0.76,4
0.925,0.491,2
0.974,0.515,2
0.39,0.69,3
0.015,0.791,4
0.531,0.089,0
0.499,0.037,0
0.52,0.718,3
0.173,0.783,4
0.265,0.439,1
0.993,0.5,2
0.46,0.716,3
0.417,0.739,3
0.274,0.522,1
0.271,0.585,1
0.46,0.05,0
0.541,0.109,0
0.311,0.493,1
0.452,0.805,3
0.403,0.728,3
0.055,0.808,4
0.479,0.093,0
0.022,0.81,4
1.008,0.557,2
0.43,0.715,3
0.159,0.752,4
0.281,0.554,1
0.234,0.435,1
0.509,0.045,0
0.53,0.108,0
0.949,0.518,2
0.457,0.624,3
0.999,0.487,2
0.517,0.022,0
0.469,0.745,3
0.536,0.671,3
0.066,0.708,4
0.109,0.772,4
0.548,0.053,0
0.187,0.414,1
0.051,0.785,4
0.272,0.47,1
0.905,0.552,2
0.06,0.789,4
0.07,0.779,4
0.966,0.577,2
1.01,0.508,2
0.076,0.801,4
0.11,0.794,4
0.285,0.498,1
0.03,0.769,4
0.503,0.67,3
0.934,0.526,2
1.04,0.529,2
0.526,0.693,3
0.076,0.74,4
0.482,0.807,3
0.239,0.499,1
0.499,0.154,0
0.294,0.48,1
0.083,0.724,4
0.454,0.695,3
0.43,0.775,3
0.443,0.042,0
0.045,0.794,4
0.433,0.645,3
1.016,0.569,2
0.501,0.027,0
1.025,0.552,2
0.133,0.751,4
0.016,0.787,4
0.238,0.368,1
0.233,0.545,1
1.03,0.535,2
0.323,0.512,1
0.045,0.745,4
1.002,0.511,2
0.295,0.53,1
0.085,0.732,4
0.299,0.465,1
0.951,0.564,2
0.537,0.08,0
0.304,0.481,1
0.494,0.708,3
0.293,0.497,1
0.069,0.827,4
0.56,0.066,0
0.092,0.857,4
0.059,0.767,4
0.292,0.471,1
0.535,0.034,0
0.477,0.047,0
0.294,0.495,1
0.465,0.782,3
0.529,0.669,3
0.121,0.778,4
0.249,0.507,1
0.944,0.545,2
0.426,0.679,3
0.472,0.677,3
0.24,0.473,1
0.437,0.726,3
0.461,0.12,0
0.521,0.063,0
0.093,0.763,4
