x,y,z,cluster
0.484,0.131,0.271,0
0.079,0.831,0.434,1
0.375,0.055,0.29,2
0.486,0.72,0.825,3
0.747,0.912,0.545,4
0.014,0.775,0.427,1
0.546,0.165,0.28,0
0.504,0.592,0.806,3
0.504,0.624,0.837,3
0.774,0.954,0.533,4
0.397,0.054,0.296,2
0.422,0.016,0.362,2
0.509,0.719,0.816,3
0.482,0.107,0.336,0
0.462,0.056,0.244,0
0.348,0.062,0.272,2
0.052,0.768,0.399,1
0.707,0.95,0.586,4
0.477,0.723,0.856,3
0.722,1.034,0.571,4
0.49,0.101,0.184,0
0.036,0.735,0.391,1
0.468,0.662,0.831,3
0.467,0.122,0.307,0
0.539,0.695,0.846,3
0.486,0.638,0.794,3
0.397,0.082,0.298,2
0.718,0.952,0.57,4
0.562,0.08,0.265,0
0.343,0.047,0.274,2
0.459,0.671,0.819,3
0.347,0.092,0.348,2
0.486,0.688,0.864,3
0.729,0.99,0.527,4
0.299,0.082,0.228,2
0.703,0.881,0.554,4
0.417,0.011,0.274,2
0.393,0.063,0.22,2
0.522,0.644,0.774,3
0.485,0.715,0.767,3
0.378,0.068,0.339,2
0.553,0.094,0.231,0
0.093,0.785,0.374,1
0.357,0.062,0.31,2
0.761,0.983,0.517,4
0.68,1.001,0.552,4
0.699,0.986,0.574,4
0.056,0.738,0.453,1
0.751,1.031,0.572,4
0.763,0.935,0.521,4
0.697,0.992,0.557,4
0.725,0.951,0.484,4
0.475,0.693,0.788,3
0.327,0.088,0.306,2
0.121,0.732,0.358,1
0.574,0.602,0.876,3
0.683,1.003,0.596,4
0.515,0.121,0.323,0
0.036,0.794,0.451,1
0.762,0.959,0.52,4
0.745,0.984,0.505,4
0.767,1.021,0.49,4
0.75,0.959,0.523,4
0.337,0.064,0.304,2
0.749,0.966,0.531,4
0.487,0.671,0.816,3
0.567,0.712,0.809,3
0.787,1.07,0.509,4
0.54,0.109,0.267,0
0.462,0.068,0.249,0
0.352,0.023,0.245,2
0.469,0.645,0.856,3
0.38,0.058,0.262,2
0.601,0.719,0.849,3
0.765,0.917,0.538,4
0.339,0.068,0.312,2
0.776,0.97,0.534,4
0.411,0.025,0.324,2
0.759,0.97,0.511,4
0.537,0.067,0.289,0
0.303,0.006,0.29,2
0.523,0.664,0.773,3
0.551,0.694,0.807,3
0.478,0.69,0.781,3
0.426,0.027,0.286,2
